User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Device
1528,Standard,12,2022-09-10,2023-07-07,UnitedKingdom,45,SmartTV
909,Standard,14,2022-10-08,2023-07-01,Canada,30,Tablet
678,Standard,15,2022-06-27,2023-06-28,Mexico,42,SmartTV
1066,Premium,12,2022-10-22,2023-07-03,France,47,Laptop
173,Standard,15,2022-06-03,2023-06-25,UnitedKingdom,40,Smartphone
157,Standard,14,2022-09-27,2023-06-24,Brazil,30,Laptop
2330,Basic,12,2022-10-22,2023-07-13,Italy,32,Smartphone
511,Premium,11,2022-07-26,2023-06-28,France,44,SmartTV
2017,Basic,10,2022-09-14,2023-07-08,Spain,38,Laptop
1301,Premium,14,2022-06-23,2023-07-04,UnitedStates,51,SmartTV
1996,Premium,10,2022-07-11,2023-07-10,France,34,SmartTV
40,Basic,10,2023-03-07,2023-06-22,Italy,48,Tablet
943,Standard,15,2022-06-23,2023-07-01,UnitedKingdom,42,SmartTV
1230,Basic,12,2022-06-25,2023-07-03,Germany,40,SmartTV
996,Premium,15,2022-10-25,2023-07-02,Spain,46,Tablet
2435,Basic,14,2022-09-06,2023-07-13,Italy,39,Smartphone
290,Basic,12,2022-11-25,2023-06-30,Italy,48,Smartphone
32,Basic,10,2022-07-07,2023-06-28,Canada,37,Tablet
1747,Basic,12,2022-10-12,2023-07-08,Spain,30,Laptop
1199,Premium,11,2022-11-02,2023-07-04,Australia,48,SmartTV
847,Basic,11,2022-10-28,2023-06-30,Spain,36,SmartTV
2357,Basic,13,2022-07-26,2023-07-11,Brazil,33,Smartphone
1675,Basic,12,2022-10-08,2023-07-05,UnitedStates,42,Laptop
1118,Standard,13,2022-10-09,2023-07-03,UnitedStates,35,SmartTV
1249,Premium,14,2022-09-07,2023-07-03,Spain,28,SmartTV
1875,Basic,14,2022-08-29,2023-07-06,Germany,51,SmartTV
1033,Standard,15,2022-07-30,2023-07-01,UnitedKingdom,38,Tablet
1133,Basic,12,2022-11-04,2023-07-03,UnitedStates,42,Laptop
675,Basic,11,2022-06-11,2023-06-29,Germany,39,Tablet
121,Premium,15,2022-10-03,2023-06-24,UnitedStates,27,SmartTV
1520,Basic,11,2022-07-29,2023-07-06,Italy,27,Smartphone
2088,Standard,10,2022-09-16,2023-07-09,Mexico,42,Tablet
1138,Standard,12,2022-10-21,2023-07-04,UnitedKingdom,45,Smartphone
1761,Premium,10,2022-11-07,2023-07-05,Spain,37,SmartTV
1500,Basic,14,2022-07-11,2023-07-05,Germany,38,Tablet
361,Premium,12,2022-11-25,2023-06-28,UnitedStates,36,Laptop
1539,Premium,14,2022-10-12,2023-07-05,Canada,34,Laptop
1894,Premium,11,2022-10-30,2023-07-08,Spain,33,Tablet
801,Premium,10,2022-06-22,2023-06-29,Spain,46,Smartphone
2082,Basic,12,2022-08-23,2023-07-12,Canada,29,Tablet
1767,Basic,15,2022-10-04,2023-07-07,Canada,30,Tablet
1463,Standard,11,2022-10-02,2023-07-03,UnitedStates,37,SmartTV
420,Basic,10,2022-11-02,2023-06-28,Italy,28,Laptop
1655,Basic,15,2022-07-04,2023-07-06,Italy,50,Tablet
1957,Standard,15,2022-10-13,2023-07-09,Spain,33,Smartphone
2219,Standard,10,2022-08-06,2023-07-10,Australia,41,Laptop
1931,Premium,14,2022-07-08,2023-07-07,UnitedStates,27,Tablet
2355,Basic,13,2022-07-22,2023-07-10,Germany,49,Laptop
2337,Premium,10,2022-08-20,2023-07-10,Canada,41,Smartphone
1031,Premium,13,2022-07-20,2023-07-01,UnitedStates,50,SmartTV
898,Standard,11,2022-08-30,2023-07-02,UnitedKingdom,31,Tablet
2028,Standard,11,2022-10-19,2023-07-10,Mexico,41,Smartphone
2407,Standard,11,2022-08-29,2023-07-11,Spain,31,Smartphone
2092,Basic,10,2022-10-07,2023-07-09,Spain,44,Laptop
2023,Standard,11,2022-10-09,2023-07-10,UnitedKingdom,37,Tablet
1878,Standard,12,2022-09-14,2023-07-08,Mexico,39,Tablet
2069,Standard,12,2022-07-11,2023-07-08,Australia,35,SmartTV
2419,Premium,14,2022-07-16,2023-07-11,Spain,50,SmartTV
492,Basic,10,2022-09-17,2023-06-30,Canada,51,Tablet
2444,Standard,15,2022-10-14,2023-07-12,Australia,45,Smartphone
218,Standard,12,2022-11-15,2023-06-28,Mexico,27,Tablet
1050,Basic,15,2022-10-10,2023-07-03,Germany,30,SmartTV
1072,Basic,11,2022-08-13,2023-07-03,Spain,38,Tablet
975,Basic,12,2022-10-02,2023-06-30,Germany,36,SmartTV
1055,Basic,11,2022-10-23,2023-07-01,Italy,47,Smartphone
1467,Basic,12,2022-10-08,2023-07-04,Canada,43,Smartphone
895,Basic,10,2022-08-15,2023-06-30,UnitedStates,30,Smartphone
532,Standard,11,2022-06-03,2023-06-28,Spain,38,Laptop
559,Standard,13,2022-10-19,2023-06-28,Spain,51,Tablet
639,Premium,10,2022-11-17,2023-06-28,Canada,37,Laptop
2079,Standard,10,2022-07-28,2023-07-09,Canada,31,SmartTV
870,Basic,13,2022-07-03,2023-07-02,Germany,38,Laptop
573,Standard,12,2022-11-18,2023-06-27,Mexico,37,SmartTV
1064,Basic,11,2022-10-31,2023-07-02,Australia,29,Tablet
147,Basic,12,2022-11-08,2023-06-24,Brazil,49,Laptop
603,Standard,15,2022-06-06,2023-06-27,Mexico,46,Tablet
1194,Premium,15,2022-10-19,2023-07-04,Canada,40,SmartTV
701,Premium,11,2022-09-24,2023-06-28,UnitedStates,45,SmartTV
2137,Basic,10,2022-07-16,2023-07-09,Spain,34,Tablet
1299,Standard,14,2022-06-27,2023-07-01,Canada,35,SmartTV
1261,Premium,11,2022-10-14,2023-07-02,France,37,SmartTV
2044,Premium,12,2022-11-05,2023-07-10,Spain,31,SmartTV
1615,Basic,11,2022-10-28,2023-07-06,UnitedStates,30,SmartTV
596,Basic,14,2022-06-18,2023-06-28,UnitedStates,29,SmartTV
888,Standard,13,2022-06-29,2023-06-29,Mexico,42,Laptop
235,Premium,11,2022-05-17,2023-06-25,Germany,50,Laptop
1962,Premium,12,2022-10-26,2023-07-09,Canada,28,Tablet
450,Basic,14,2022-08-06,2023-06-27,Italy,49,Laptop
388,Standard,12,2022-07-21,2023-06-28,Mexico,38,Laptop
224,Premium,15,2022-11-27,2023-06-29,Australia,40,Smartphone
1391,Premium,14,2022-09-15,2023-07-04,UnitedStates,36,Tablet
947,Basic,10,2022-06-29,2023-07-02,Brazil,50,Tablet
1054,Standard,12,2022-10-17,2023-07-03,Spain,39,Tablet
2034,Standard,12,2022-11-02,2023-07-09,Canada,30,Laptop
1341,Premium,14,2022-11-06,2023-07-04,Spain,44,SmartTV
1981,Premium,13,2022-09-16,2023-07-08,France,37,Smartphone
2303,Standard,14,2022-10-09,2023-07-12,UnitedStates,43,Laptop
1281,Premium,13,2022-08-25,2023-07-04,Spain,41,Laptop
2258,Basic,13,2022-10-14,2023-07-11,UnitedStates,45,Laptop
705,Basic,13,2022-10-04,2023-06-28,Germany,32,Laptop
365,Basic,11,2022-10-13,2023-06-27,Germany,36,Laptop
1583,Basic,12,2022-06-30,2023-07-06,UnitedStates,39,Tablet
853,Standard,14,2022-11-06,2023-06-30,UnitedKingdom,39,Tablet
579,Standard,12,2022-10-16,2023-06-28,Canada,35,Tablet
1769,Standard,14,2022-09-15,2023-07-06,Australia,41,Laptop
879,Standard,12,2022-06-18,2023-06-29,Canada,42,Tablet
2068,Standard,14,2022-07-10,2023-07-11,UnitedKingdom,47,Laptop
872,Basic,14,2022-06-21,2023-07-01,Brazil,42,Laptop
105,Basic,11,2022-03-04,2023-06-27,Germany,46,Laptop
1657,Standard,11,2022-07-23,2023-07-06,Spain,49,Smartphone
828,Standard,15,2022-08-30,2023-06-30,Mexico,33,SmartTV
2350,Basic,12,2022-07-14,2023-07-13,UnitedStates,27,Laptop
1558,Standard,15,2022-09-17,2023-07-06,UnitedKingdom,35,Smartphone
1328,Standard,12,2022-10-09,2023-07-04,UnitedStates,35,Tablet
711,Premium,14,2022-11-15,2023-06-29,Spain,27,Laptop
1347,Basic,13,2022-10-14,2023-07-04,Canada,30,SmartTV
1124,Premium,11,2022-10-17,2023-07-03,Australia,32,Laptop
1277,Premium,11,2022-09-30,2023-07-04,Brazil,30,Smartphone
1248,Standard,13,2022-09-03,2023-07-05,Mexico,47,SmartTV
1674,Standard,10,2022-10-02,2023-07-06,Canada,38,SmartTV
565,Basic,12,2022-09-29,2023-06-27,UnitedStates,29,Laptop
2179,Standard,10,2022-11-10,2023-07-10,Spain,40,SmartTV
515,Basic,15,2022-07-01,2023-06-29,Italy,44,Laptop
1203,Standard,12,2022-11-04,2023-07-04,Mexico,41,SmartTV
1115,Basic,14,2022-10-03,2023-07-01,Italy,33,Laptop
2372,Basic,15,2022-10-07,2023-07-10,Brazil,38,Tablet
1846,Premium,13,2022-08-12,2023-07-08,France,45,Smartphone
749,Premium,12,2022-07-06,2023-06-30,Australia,46,SmartTV
768,Standard,10,2022-10-08,2023-07-02,Mexico,38,Laptop
1901,Premium,15,2022-11-07,2023-07-06,UnitedStates,38,Tablet
1815,Standard,13,2022-10-09,2023-07-07,Germany,42,Tablet
1352,Premium,13,2022-08-21,2023-07-05,Brazil,42,Laptop
614,Basic,15,2022-08-14,2023-06-28,Australia,51,Smartphone
58,Standard,12,2021-10-08,2023-06-24,Mexico,34,Smartphone
1458,Standard,14,2022-09-09,2023-07-06,Mexico,41,Tablet
44,Standard,12,2022-04-26,2023-06-26,Australia,29,Tablet
1504,Standard,11,2022-06-30,2023-07-06,Spain,32,SmartTV
985,Premium,11,2022-10-21,2023-06-29,UnitedStates,36,SmartTV
1106,Premium,14,2022-08-29,2023-07-04,UnitedStates,37,SmartTV
1448,Standard,14,2022-07-18,2023-07-07,UnitedStates,33,Laptop
1242,Basic,14,2022-07-31,2023-07-05,Canada,49,Tablet
1021,Premium,13,2022-06-22,2023-07-03,France,33,SmartTV
1239,Premium,11,2022-07-16,2023-07-02,Canada,27,Laptop
302,Premium,11,2022-09-14,2023-06-27,Canada,44,Tablet
1573,Standard,15,2022-07-07,2023-07-05,UnitedKingdom,43,SmartTV
1757,Basic,13,2022-11-03,2023-07-05,Brazil,43,Laptop
756,Premium,14,2022-08-23,2023-06-29,Spain,44,Smartphone
403,Standard,13,2022-07-23,2023-06-28,UnitedKingdom,28,Smartphone
299,Premium,10,2022-10-30,2023-06-27,Spain,27,Smartphone
